created_at,clean_text,"Price_label(0,1)"
2010-06-29,nan,1
2010-06-29,trump tusk tesla,1
2010-06-29,tesla elon musk may trouble e c want -PRON- hold contempt tweet -PRON- say violate -PRON- settleman,1
2010-07-01,,-1
2010-07-01,year people find tesla teleportation achieve year ago darpa classify ever since,-1
2010-07-02,look mx efficient compare audi jaguar,-1
2010-07-14,tesla musk risk contempt charge sec argue tweet violate deal euronew corpgov,1
2010-07-14,load cobbler grow tesla elon musk may contempt tweet board,1
2010-07-14,tesla powerwall high demand installer not -PRON-,1
2010-07-14,tesla la sec cita elon musk giudizio per un tweet,1
2010-07-15,tesla estadio superior del escarabajo el,1
2010-07-20,xrp target target k open shoto buy tesla not car mean like buy,1
2010-07-21,entrevista mais extraordin ria de nikola tesla escondida por ano atualizado,1
2010-07-22,qu hay debajo del capot de un tesla nada,-1
2010-07-23,nan,1
2010-07-23,not particularly abt issue notice influential individual voice -PRON- opinion abt su,1
2010-07-23,nox fri dieselbil kombinem utslippsfritt diesel drivst,1
2010-07-23,go tesla use car price tsla,1
2010-07-23,da gjenst r det bare co n ytral eller co negativ diesel p tanken som kjenner til -PRON-,1
2010-07-23,polestar google power electric tesla competitor,1
2010-07-26,qu hay debajo del capot de un tesla nada,1
2010-07-27,statue nikola tesla silicon valley transmit free wi fi,-1
2010-07-29,e c want elon musk hold contempt coufor tesla post twitter new york time,1
2010-08-02,nan,-1
2010-08-03,-PRON- come people give world shakespeare mozart tesla davinci edison wright brother galileo bee,1
2010-08-03,-PRON- birthday cake tesla space roadster tesla,1
2010-08-03,tesla major winner progressive u china trade deal,1
2010-08-03,-PRON- worth remember core purpose tesla tsla tslaq tesla emhivemind,1
2010-08-03,filter need take -PRON- absolute favorite photo tesla ever even envy,1
2010-08-04,-PRON- think dunno spitball -PRON- pool -PRON- resource dunno build,-1
2010-08-05,bond repayment make fud issue -PRON- cover -PRON- q report pay cash -PRON- plent,1
2010-08-05,wonder mileage tesla would get drive new brunswick nova scotia steep incline,1
2010-08-05,quite people excited get -PRON- tesla -PRON- seem many complain w,1
2010-08-05,look price tesla dunno something -PRON- guinea pig help compa,1
2010-08-05,tesla incredible efficiency lead become clear range test audi e tron jaguar pace,1
2010-08-06,,-1
2010-08-06,esta tarde colgar video de la primera parte de nuestro viaje noruega alquilando un tesla model estad atento,-1
2010-08-09,elon musk may hold contempt couover tesla tweet fb,1
2010-08-09,sec seek contempt charge tesla tsla musk say tweet violate deal,1
2010-08-11,make,-1
2010-08-11,nan,-1
2010-08-11,-PRON- make -PRON- day,-1
2010-08-12,hang distinctly remember commentariat say tesla battery work auspol sapol renewabl,-1
2010-08-12,metro elon musk back legal crosshair possible contempt coutesla tweet ukdigital,-1
2010-08-12,tesla en merced mogelijk saman project elektrische bestelauto,-1
2010-08-12,tesla forever dope,-1
2010-08-13,year company found tesla lexus hyundai ferrari toyota volkswagen nissan,-1
2010-08-16,really admire wish -PRON- stop tweet get turn tesla mammoth success,1
2010-08-16,la guerra de twitter pugna con la sec pone en riesgo el futuro de elon musk en tesla df,1
2010-08-16,-PRON- get american starman tesla notaflamethrower,1
2010-08-17,,1
2010-08-17,ein komplette design refresh f r tesla w schon recht cool x zwar super f r e fahrzeuge die waren ja,1
2010-08-18,tesla hisseleri sec unutkanl yla,1
2010-08-18,nikola tesla -PRON- laboratory,1
2010-08-20,und jedesmal muss er gratis arbeiten f r die tesla fahrer okay nein kommt auf den kanton draufan,1
2010-08-24,british parliament busy dither brexit dutch build electric container barge call,-1
2010-08-24,not sure legit mobile day -PRON- drive -PRON- get -PRON- cover,-1
2010-08-25,de polestar wil een rivaal zijn voor de tesla model maakt de elektrische volvo die ambitie ook waar,1
