,name_ML,coss_val_mean,train_accuracy,train_loss,test_accuracy,test_loss
0,XGBClassifier,0.8350807702851315,0.825,0.175,0.8268156424581006,0.17318435754189945
1,RandomForest_Classifier,0.8170902624914577,0.95,0.05,0.8100558659217877,0.18994413407821228
2,LogisticRegression,0.8114660078935041,0.85,0.15,0.8156424581005587,0.18435754189944134
3,Decision_Tree,0.8059108719913951,0.9,0.1,0.776536312849162,0.22346368715083798
4,KNeighborsClassifier,0.804800043407534,0.875,0.125,0.7821229050279329,0.21787709497206703
5,GaussianNB,0.804800043407534,0.875,0.125,0.7821229050279329,0.21787709497206703
6,LinearSVC,0.8047117388653824,0.85,0.15,0.8212290502793296,0.1787709497206704
7,Perceptron,0.7666032930856125,0.85,0.15,0.7430167597765364,0.2569832402234637
8,SGD_Classifier,0.7565479236552264,0.85,0.15,0.7039106145251397,0.29608938547486036
9,XGBRegressor,0.45746960711490514,0.875,0.125,0.8491620111731844,0.15083798882681565
10,RandomForest_Regrassior,0.42270557032960265,0.95,0.05,0.8100558659217877,0.18994413407821228
11,SGD_Regressor,0.311312037810794,0.825,0.175,0.7374301675977654,0.26256983240223464
